,acc,pre,recall,f1,mcc,auc,ap
mean,0.7436,0.5982,0.7042,0.6466,0.4518,0.7982,0.68625
std,0.005683309,0.014822281,0.041631719,0.01807761,0.022241852,0.018525658,0.018803812
