,acc,pre,recall,f1,mcc,auc,ap
mean,0.7316,0.5933,0.6322,0.6112,0.408,0.7829,0.7522
std,0.004523367,0.012977538,0.040862842,0.013509367,0.010474993,0.01488643,0.018106545
