,acc,pre,recall,f1,mcc,auc,ap
mean,0.7096,0.5802,0.4662,0.5148,0.3172,0.6994,0.5564
std,0.01293445,0.022297982,0.065212729,0.045129813,0.040145984,0.012481987,0.019679939
