,acc,pre,recall,f1,mcc,auc,ap
mean,0.7336,0.598,0.5523,0.5741,0.3415,0.7714,0.6165
std,0.005450505,0.048455051,0.1180224,0.073377565,0.046726952,0.006383808,0.011261749
