,acc,pre,recall,f1,mcc,auc,ap
mean,0.7073,0.5659,0.5373,0.5502,0.3347,0.7501,0.6006
std,0.012821349,0.025973871,0.031346818,0.010090491,0.017054999,0.011213028,0.029667912
