,S.cere,C.elegan,E.coli,Drosophila,HPRD1,HPRD2
mean,0.9648,0.9978,0.991,1,0.9906,0.992
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
