,S.cere,C.elegan,E.coli,Drosophila,HPRD1,HPRD2
mean,0.9804,0.9994,0.9952,1,0.9918,0.9898
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
