,S.cere,C.elegan,E.coli,Drosophila,HPRD,Oryza
mean,0.6374,0.623,0.7496,0.6358,0.6944,0.7736
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
