,S.cere,C.elegan,E.coli,Drosophila,HPRD,Oryza
mean,0.5894,0.6612,0.7348,0.6578,0.689,0.7452
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
