,S.cere,C.elegan,E.coli,Drosophila,HPRD,Oryza
mean,0.6716,0.715,0.7726,0.6601,0.7583,0.8678
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
