,S.cere,C.elegan,E.coli,Drosophila,HPRD,Oryza
mean,0.7376,0.7964,0.8078,0.8144,0.836,0.8928
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
