,S.cere,C.elegan,E.coli,Drosophila,HPRD,Oryza
mean,0.826,0.8508,0.886,0.8199,0.891,0.9618
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
