,S.cere,C.elegan,E.coli,Drosophila,HPRD,Oryza
mean,0.791,0.7852,0.8532,0.8034,0.8514,0.9144
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
