,S.cere,C.elegan,E.coli,Drosophila,HPRD1,HPRD2
mean,0.8014,0.8848,0.9002,0.959,0.9554,0.901
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
