,S.cere,C.elegan,E.coli,Drosophila,HPRD1,HPRD2
mean,0.81,0.9068,0.836,0.883,0.8782,0.8348
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
