,S.cere,C.elegan,E.coli,Drosophila,HPRD1,HPRD2
mean,0.8772,0.977,0.9468,0.9846,0.9704,0.9614
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
