,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.8468,0.8564,0.6198,0.9517,0.719,0.5322,0.8376,0.8005
std,0.006809405,0.018542707,0.027083888,0.014971206,0.020087359,0.007360163,0.009417696,
