,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.859,0.8348,0.7196,0.9288,0.7726,0.6752,0.886,0.8492
std,0.005630275,0.006442049,0.013575714,0.009746794,0.012973049,0.009617692,0.00594138,
