,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.8479,0.7834,0.7575,0.8791,0.7701,0.6568,0.8879,0.8729
std,0.006504773,0.009985315,0.019117842,0.010958887,0.015186342,0.013144933,0.015824047,
