,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.8072,0.716,0.6998,0.8608,0.7076,0.564,0.8108,0.7902
std,0.009137833,0.024643458,0.020278067,0.01267675,0.019057807,0.010271319,0.0101653,
