,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.8191,0.7653,0.6611,0.8981,0.7089,0.5823,0.8185,0.7733
std,0.003765236,0.014370525,0.020032049,0.007425295,0.008685448,0.010888618,0.014801588,
