,acc,pre,recall,f1,mcc,auc,ap
mean,0.9946,0.9974,0.9914,0.9946,0.98,0.9994,0.9996
std,0.00054772,0.00054772,0.00181659,0.00054772,0.00324037,0.00054772,0
