,acc,pre,recall,f1,mcc,auc,ap
mean,0.9892,0.9949,0.9834,0.9891,0.9621,0.9984,0.9988
std,0.00132552,0.00268738,0.00283954,0.00130652,0.004749,0.00040866,0.00030822
