,acc,pre,recall,f1,mcc,auc,ap
mean,0.9468,0.9403,0.9543,0.9473,0.8529,0.9843,0.9838
std,0.00132212,0.0031265,0.00126807,0.00121367,0.00223002,0.00075033,0.00077007
