,acc,pre,recall,f1,mcc,auc,ap
mean,0.9704,0.9738,0.9666,0.9702,0.9092,0.9828,0.9846
std,0.00288097,0.00342053,0.00427785,0.00327109,0.00988433,0.00130384,0.00089443
