,acc,pre,recall,f1,mcc,auc,ap
mean,0.9762,0.9938,0.9584,0.9758,0.9531,0.995,0.9964
std,0.0012346,0.0025123,0.0046469,0.0013315,0.0022802,0.0007491,0.0003976
