,acc,pre,recall,f1,mcc,auc,ap
mean,0.941,0.9914,0.8892,0.9378,0.7882,0.9882,0.9912
std,0.00244949,0.00151658,0.00563028,0.00277489,0.00881476,0.00044721,0.00044721
