,S.cere,C.elegan,E.coli,Drosophila,HPRD,Oryza
mean,0.7344,0.6506,0.891,0.6738,0.74,0.8248
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
