,S.cere,C.elegan,E.coli,Drosophila,HPRD,Oryza
mean,0.8824,0.8654,0.9288,0.8641,0.8841,0.9248
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
