,S.cere,C.elegan,E.coli,Drosophila,HPRD,Oryza
mean,0.7664,0.8028,0.905,0.8468,0.864,0.844
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
