,S.cere,C.elegan,E.coli,Drosophila,HPRD1,HPRD2
mean,0.9388,0.9688,0.9724,0.9896,0.9864,0.97
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
