,S.cere,C.elegan,E.coli,Drosophila,HPRD1,HPRD2
mean,0.9398,0.9746,0.9524,0.9676,0.9658,0.9494
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
