,S.cere,C.elegan,E.coli,Drosophila,HPRD1,HPRD2
mean,0.9628,0.994,0.9848,0.996,0.9904,0.987
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
