,acc,pre,recall,f1,mcc,auc,ap
mean,0.6506,0.4854,0.7978,0.6035,0.3597,0.7789,0.71
std,0.008609588,0.008488698,0.008230917,0.008276291,0.022403906,0.005967244,0.005733847
