,acc,pre,recall,f1,mcc,auc,ap
mean,0.9706,0.8871,0.7790,0.8295,0.8155,0.9655,0.8636
std,0.012377399,0.017924843,0.009055385,0.010084642,0.019740821,0.011823705,0.020461346
