,acc,pre,recall,f1,mcc,auc,ap
mean,0.9483,0.7299,0.6892,0.7082,0.6807,0.9275,0.7468
std,0.008006685,0.017454312,0.02007603,0.00814199,0.012732517,0.006877718,0.008119606
