,acc,pre,recall,f1,mcc,auc,ap
mean,0.9546,0.7541,0.7379,0.7459,0.7211,0.9314,0.8838
std,0.001493593,0.005868988,0.014836443,0.004077689,0.003708268,0.00945932,0.012409178
