,acc,pre,recall,f1,mcc,auc,ap
mean,0.9746,0.8806,0.8314,0.8554,0.8418,0.9596,0.8786
std,0.007,0.012055428,0.014282857,0.009502631,0.010521407,0.007918333,0.005066228
