,acc,pre,recall,f1,mcc,auc,ap
mean,0.9579,0.8216,0.6922,0.7494,0.7128,0.9542,0.8109
std,0.003254996,0.025007859,0.049124464,0.026855074,0.020539669,0.003655817,0.007050745
