,acc,pre,recall,f1,mcc,auc,ap
mean,0.7514,0.6294,0.6206,0.6242,0.4393,0.7847,0.67394
std,0.002456624,0.012012369,0.038666329,0.014585095,0.010997181,0.014480746,0.024743343
