,acc,pre,recall,f1,mcc,auc,ap
mean,0.7474,0.6616,0.4988,0.5676,0.4032,0.7442,0.6448
std,0.013831124,0.034428186,0.044712414,0.030770115,0.03920034,0.01300769,0.022576536
