,acc,pre,recall,f1,mcc,auc,ap
mean,0.804,0.7357,0.6758,0.7045,0.4836,0.8311,0.7518
std,0.00354471,0.00155403,0.00638224,0.00342739,0.01336159,0.00251833,0.00154499
