,acc,pre,recall,f1,mcc,auc,ap
mean,0.8134,0.7184,0.7246,0.7212,0.5812,0.8536,0.7826
std,0.007436397,0.024439722,0.022556595,0.017598295,0.020824665,0.010310189,0.013098982
