,acc,pre,recall,f1,mcc,auc,ap
mean,0.7378,0.5961,0.6458,0.6196,0.4732,0.7903,0.7679
std,0.010494724,0.01649425,0.018716316,0.003921098,0.020166185,0.012296623,0.013424775
