,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.7582,0.6944,0.4688,0.8982,0.5561,0.3401,0.7612,0.6417
std,0.003254996,0.025007859,0.049124464,0.026855074,0.020539669,0.003655817,0.007050745,
