,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.7178,0.5724,0.6068,0.7732,0.589,0.3748,0.7342,0.6102
std,0.012377399,0.017924843,0.009055385,0.010084642,0.019740821,0.011823705,0.020461346,
