,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.7315,0.5981,0.5853,0.7958,0.5916,0.3917,0.7601,0.73
std,0.001493593,0.005868988,0.014836443,0.004077689,0.003708268,0.00945932,0.012409178,
