,S.cere,C.elegan,E.coli,Drosophila,HPRD1,HPRD2
mean,0.9856,0.997,0.9928,0.9688,0.9946,0.994
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
