,S.cere,C.elegan,E.coli,Drosophila,HPRD1,HPRD2
mean,0.9782,0.9918,0.9918,0.9976,0.997,0.9936
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
