,S.cere,C.elegan,E.coli,Drosophila,HPRD1,HPRD2
mean,0.9908,0.9976,0.9962,0.9988,0.9982,0.996
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
