,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.8426,0.7653,0.7627,0.8825,0.7636,0.646,0.9023,0.8273
std,0.003072946,0.023640897,0.030893252,0.004441058,0.001891296,0.001016366,0.003171277,
