,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.8726,0.8054,0.8125,0.9064,0.8089,0.7134,0.929,0.9126
std,0.001320228,0.007020047,0.007590226,0.000586219,0.001407848,0.001255057,0.001873021,
