,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.8467,0.811,0.7025,0.9181,0.752,0.5635,0.9163,0.8552
std,0.003254689,0.014071354,0.023098636,0.008415165,0.012559538,0.00274627,0.004260516,
