,acc,pre,recall,f1,mcc,auc,ap
mean,0.7561,0.5885,0.8921,0.7092,0.5334,0.8997,0.8211
std,0.00132212,0.0031265,0.00126807,0.00121367,0.00223002,0.00075033,0.00077007
