,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.8284,0.7238,0.785,0.8504,0.7532,0.6232,0.8884,0.82
std,0.00212132,0.008734987,0.007231874,0.002607681,0.003781534,0.002302173,0.002588436,
