,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.9102,0.8542,0.8818,0.9248,0.8678,0.8004,0.9618,0.9392
std,0.001140175,0.009396808,0.009848858,0.001516575,0.002167948,0.001095445,0.001707825,
