,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.8005,0.7601,0.8558,0.8753,0.8132,0.6093,0.8917,0.8867
std,0.001493593,0.005868988,0.014836443,0.004077689,0.003708268,0.00945932,0.012409178,
