,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.8538,0.8657,0.848,0.8601,0.8564,0.5933,0.9285,0.9308
std,0.003254996,0.025007859,0.049124464,0.026855074,0.020539669,0.003655817,0.007050745,
