,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.861,0.8552,0.8698,0.853,0.862,0.723,0.931,0.9332
std,0.007,0.012055428,0.014282857,0.009502631,0.010521407,0.007918333,0.005066228,
