,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.8282,0.8258,0.8324,0.8246,0.8286,0.6568,0.8978,0.8768
std,0.012377399,0.017924843,0.009055385,0.010084642,0.019740821,0.011823705,0.020461346,
