,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.8271,0.8056,0.8635,0.7907,0.8332,0.6565,0.8972,0.8927
std,0.008006685,0.017454312,0.02007603,0.00814199,0.012732517,0.006877718,0.008119606,
