,acc,pre,recall,f1,mcc,auc,ap
mean,0.7238,0.5866,0.581,0.5858,0.3772,0.7316,0.6136
std,0.012377399,0.017924843,0.009055385,0.010084642,0.019740821,0.011823705,0.020461346
