,acc,pre,recall,f1,mcc,auc,ap
mean,0.7219,0.5768,0.6205,0.5977,0.4229,0.764,0.7326
std,0.001493593,0.005868988,0.014836443,0.004077689,0.003708268,0.00945932,0.012409178
