,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.7303,0.6057,0.5472,0.8219,0.5748,0.3792,0.7471,0.6103
std,0.008006685,0.017454312,0.02007603,0.00814199,0.012732517,0.006877718,0.008119606,
